id,name,day,period,term,genre
1,情報ネットワーク,Monday,3,前期,専門
2,人工知能,Monday,4,前期,専門
3,ソフトウェア工学,Tuesday,2,前期,専門
4,高度情報演習１B,Tuesday,3,前期,専門
5,高度情報演習１B,Tuesday,4,前期,専門
6,Interaction Design,Tuesday,2,前期,専門
7,データベース,Wednesday,1,前期,専門
8,数理計画法,Wednesday,2,前期,専門
9,高度情報演習１A,Wednesday,3,前期,専門
10,高度情報演習１B,Wednesday,4,前期,専門
11,上級プログラミング１,Thursday,1,前期,専門
12,上級プログラミング１,Thursday,2,前期,専門
13,上級プログラミング２,Thursday,1,前期,専門
14,上級プログラミング２,Thursday,2,前期,専門
15,ディジタルメディア処理２,Thursday,3,前期,専門
16,集積回路工学,Thursday,4,前期,専門
17,Accessibility of Information and Communication,Thursday,2,前期,専門
18,情報通信技術英語,Friday,1,前期,専門
19,組込みシステム,Friday,2,前期,専門
20,基礎電磁気学,Monday,1,前期,共通数理
21,線形代数第１,Monday,2,前期,共通数理
22,線形代数第２,Monday,2,前期,共通数理
23,線形代数第３,Monday,2,前期,共通数理
24,線形代数第４,Monday,2,前期,共通数理
25,微分方程式第１,Monday,1,前期,共通数理
26,微分方程式第２,Monday,1,前期,共通数理
27,確率と統計第１,Monday,3,前期,共通数理
28,確率と統計第２,Monday,3,前期,共通数理
29,ベクトル解析第１,Monday,4,前期,共通数理
30,ベクトル解析第２,Monday,4,前期,共通数理
31,ベクトル解析第１,Monday,2,前期,共通数理
32,ベクトル解析第２,Monday,2,前期,共通数理
33,基礎電磁気学演習,Monday,2,前期,共通数理
34,基礎力学,Monday,3,前期,共通数理
35,基礎力学演習,Monday,4,前期,共通数理
36,物理学実験,Monday,3,前期,共通数理
37,物理学実験,Monday,4,前期,共通数理
38,基礎熱統計力学,Tuesday,1,前期,共通数理
39,微分積分第３,Tuesday,2,前期,共通数理
40,微分積分第３,Tuesday,3,前期,共通数理
41,微分積分第４,Tuesday,2,前期,共通数理
42,微分積分第４,Tuesday,3,前期,共通数理
43,微分方程式第１,Tuesday,4,前期,共通数理
44,微分方程式第１,Tuesday,5,前期,共通数理
45,微分方程式第２,Tuesday,4,前期,共通数理
46,微分方程式第２,Tuesday,5,前期,共通数理
